                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    109,                0.49216,                 0.5819,                 1.0752,                0.89881,                0.84258,                0.88954,                 0.7102,                0.76346,                0.75105,                 1.3229,             0.00026106,             0.00026106,             0.00026106
                    110,                0.53724,                0.59756,                 1.1016,                0.90346,                0.84497,                 0.8899,                0.72798,                0.74033,                0.68602,                 1.3255,             0.00025507,             0.00025507,             0.00025507
                    111,                0.52449,                0.58245,                 1.1014,                 0.8812,                0.84549,                0.90244,                0.73287,                0.72655,                0.67846,                 1.3035,             0.00024907,             0.00024907,             0.00024907
                    112,                0.53752,                0.59604,                 1.1014,                0.86998,                0.85472,                0.89544,                0.71769,                0.77933,                0.73595,                 1.3404,             0.00024307,             0.00024307,             0.00024307
                    113,                0.51432,                0.58255,                 1.0912,                0.82319,                0.85612,                0.89164,                0.70979,                0.81019,                0.79089,                 1.3751,             0.00023707,             0.00023707,             0.00023707
                    114,                0.51695,                0.62024,                 1.0973,                0.90796,                0.82349,                0.90661,                0.72236,                0.78206,                 0.7455,                 1.3459,             0.00023107,             0.00023107,             0.00023107
                    115,                 0.4925,                0.58363,                 1.0919,                 0.8894,                0.86175,                0.90377,                0.74616,                0.72262,                0.68311,                 1.3015,             0.00022507,             0.00022507,             0.00022507
                    116,                0.49565,                0.57915,                 1.0704,                0.89193,                0.85694,                0.90623,                0.74227,                0.72018,                0.70904,                 1.2916,             0.00021907,             0.00021907,             0.00021907
                    117,                0.51648,                0.58538,                 1.0965,                0.87716,                0.85032,                0.89864,                0.73387,                0.70951,                0.69464,                 1.2643,             0.00021307,             0.00021307,             0.00021307
                    118,                0.50488,                0.59361,                 1.0972,                0.87951,                0.84777,                0.89825,                 0.7214,                0.74467,                0.72841,                 1.2963,             0.00020707,             0.00020707,             0.00020707
                    119,                0.48649,                 0.5387,                 1.0793,                0.87549,                0.86496,                0.90288,                0.72293,                0.78466,                0.69911,                 1.3487,             0.00020107,             0.00020107,             0.00020107
                    120,                0.50036,                0.53599,                 1.0829,                0.90196,                0.82908,                0.90429,                 0.7182,                0.78005,                 0.7233,                 1.3454,             0.00019507,             0.00019507,             0.00019507
                    121,                0.48197,                0.55818,                 1.0727,                0.85558,                0.88213,                0.91404,                0.74357,                0.74292,                0.72337,                 1.2872,             0.00018907,             0.00018907,             0.00018907
                    122,                0.48103,                0.53769,                 1.0731,                0.87594,                0.83411,                0.89787,                0.73263,                0.75844,                0.74809,                 1.3067,             0.00018307,             0.00018307,             0.00018307
                    123,                0.51463,                0.55232,                 1.0879,                0.87634,                0.85656,                0.91279,                0.75201,                0.70915,                0.71864,                 1.2801,             0.00017707,             0.00017707,             0.00017707
                    124,                0.49448,                0.55393,                 1.0692,                0.92878,                0.81472,                0.90095,                0.74272,                0.72416,                0.75282,                 1.2836,             0.00017107,             0.00017107,             0.00017107
                    125,                0.50389,                0.54974,                 1.0897,                0.86602,                0.83702,                 0.8945,                0.72789,                0.73714,                0.75047,                 1.2972,             0.00016507,             0.00016507,             0.00016507
                    126,                0.48888,                0.54395,                 1.0757,                0.89957,                0.82757,                0.89649,                 0.7229,                0.75891,                 0.7289,                 1.3214,             0.00015907,             0.00015907,             0.00015907
                    127,                0.46624,                0.52893,                 1.0653,                0.87719,                0.84517,                0.90024,                0.72397,                0.72257,                0.73478,                 1.2711,             0.00015308,             0.00015308,             0.00015308
                    128,                0.48066,                0.54127,                 1.0724,                0.85817,                0.85852,                0.90196,                0.74339,                0.70033,                0.71046,                 1.2416,             0.00014708,             0.00014708,             0.00014708
                    129,                0.46354,                0.49944,                 1.0647,                0.89116,                 0.8345,                0.89345,                0.73424,                0.70222,                0.70597,                 1.2479,             0.00014108,             0.00014108,             0.00014108
                    130,                0.47076,                0.50509,                 1.0671,                0.89628,                0.83674,                0.89969,                  0.741,                0.71123,                 0.7245,                 1.2603,             0.00013508,             0.00013508,             0.00013508
                    131,                0.46774,                0.50209,                 1.0666,                0.86989,                0.85245,                 0.9031,                0.73486,                0.73953,                 0.7134,                 1.2891,             0.00012908,             0.00012908,             0.00012908
                    132,                0.45675,                0.50592,                 1.0528,                0.88304,                0.83926,                0.89403,                0.72591,                0.73491,                0.71576,                 1.2897,             0.00012308,             0.00012308,             0.00012308
                    133,                0.45967,                0.52011,                 1.0642,                0.89072,                0.85994,                0.90453,                0.74541,                0.70084,                0.70449,                 1.2524,             0.00011708,             0.00011708,             0.00011708
                    134,                0.47483,                0.50288,                 1.0745,                0.91084,                0.83901,                0.90422,                0.74192,                0.72753,                0.67195,                 1.2797,             0.00011108,             0.00011108,             0.00011108
                    135,                0.46932,                 0.5204,                 1.0629,                 0.8923,                0.85565,                0.90256,                0.74475,                0.69888,                0.66742,                 1.2666,             0.00010508,             0.00010508,             0.00010508
                    136,                0.45855,                0.48593,                 1.0519,                0.87537,                0.85304,                0.89568,                0.72245,                0.74724,                0.70497,                 1.3079,             9.9081e-05,             9.9081e-05,             9.9081e-05
